rid,aircraft,airport,model,impact,flight_date,damage,airline,origin,flight_phase,wildlife_size,sky_conditions,pilot_warned_flag,altitude_ft,heavy_flag
202152,Airplane,LAGUARDIA NY,B-737-400,Engine Shut Down,11/23/2000 0:00,Damage,US AIRWAYS,Texas,Approach,Medium,No Cloud,N,"1,500",Yes
208159,Airplane,DALLAS/FORT WORTH INTL ARPT,MD-80,None,7/25/2001 0:00,Damage,AMERICAN AIRLINES,New York,Approach,Small,Some Cloud,Y,0,No
207601,Airplane,LAKEFRONT AIRPORT,C-500,None,9/14/2001 0:00,No damage,BUSINESS,New York,Approach,Small,No Cloud,N,50,No
215953,Airplane,SEATTLE-TACOMA INTL,B-737-400,Precautionary Landing,9/5/2002 0:00,No damage,ALASKA AIRLINES,New York,Approach,Small,Some Cloud,Y,50,Yes
219878,Airplane,NORFOLK INTL,CL-RJ100/200,None,6/23/2003 0:00,No damage,COMAIR AIRLINES,New York,Approach,Small,No Cloud,N,50,No
218432,Airplane,GUAYAQUIL/S BOLIVAR,A-300,None,7/24/2003 0:00,No damage,AMERICAN AIRLINES,New York,Approach,Small,No Cloud,N,0,No
221697,Airplane,NEW CASTLE COUNTY,LEARJET-25,Other,8/17/2003 0:00,Damage,BUSINESS,New York,Approach,Small,No Cloud,N,150,No
236635,Airplane,WASHINGTON DULLES INTL ARPT,A-320,Other,3/1/2006 0:00,Damage,UNITED AIRLINES,New York,Approach,Small,Some Cloud,Y,100,No
207369,Airplane,BINGHAMTON INTL,DC-9-30,Aborted Take-off,1/6/2000 0:00,No damage,AIRTRAN AIRWAYS,New York,Approach,Small,Some Cloud,N,0,No
204371,Airplane,BINGHAMTON INTL,A-330,None,1/7/2000 0:00,No damage,AIRTOURS INTL,New York,Approach,Small,Some Cloud,N,0,No
